iter	Logloss
0	0.6908135187
1	0.6892909095
2	0.6876554489
3	0.6860030038
4	0.6837175006
5	0.682558423
6	0.6803164709
7	0.6778556279
8	0.67607589
9	0.6747047788
10	0.6725165503
11	0.670914877
12	0.6688941774
13	0.6671659379
14	0.6652934211
15	0.6633635021
16	0.6619977497
17	0.6602452596
18	0.658395086
19	0.6571019036
20	0.6558282943
21	0.6551050913
22	0.6535259428
23	0.6514226368
24	0.6497164227
25	0.6485091618
26	0.646831467
27	0.6450403758
28	0.6435140882
29	0.6417208172
30	0.6397563844
31	0.6381014869
32	0.6366357349
33	0.635312035
34	0.6340909231
35	0.6326168151
36	0.6315457026
37	0.6302202316
38	0.6281916755
39	0.6263769695
40	0.6252171199
41	0.6235220773
42	0.6222590492
43	0.620886394
44	0.6192547026
45	0.6182403564
46	0.617076783
47	0.6152381897
48	0.6137559982
49	0.6128073193
50	0.6112242653
51	0.6098255884
52	0.6088170551
53	0.6073811395
54	0.6063046682
55	0.6052610307
56	0.6038895562
57	0.6021694002
58	0.6009253093
59	0.5998475665
60	0.5983046123
61	0.597460338
62	0.595701036
63	0.5945060367
64	0.5935618537
65	0.5922792526
66	0.5910025097
67	0.5895333971
68	0.5877482096
69	0.585623287
70	0.5844275157
71	0.5836232503
72	0.5823438281
73	0.5812754858
74	0.5798995608
75	0.5785319465
76	0.577658517
77	0.5766254607
78	0.5754533495
79	0.5742598034
80	0.5731384641
81	0.5714759373
82	0.5704782577
83	0.5695382073
84	0.56820765
85	0.5667770931
86	0.5651211512
87	0.5640015829
88	0.5629050391
89	0.5619550432
90	0.5603931064
91	0.5587813059
92	0.5575304486
93	0.5562517075
94	0.5551142466
95	0.5534995851
96	0.5522269294
97	0.5507963271
98	0.5496426991
99	0.5487456549
100	0.5479575112
101	0.5466840835
102	0.5450080236
103	0.5439823696
104	0.5430145264
105	0.5418967292
106	0.5410698482
107	0.5399885178
108	0.5385256722
109	0.5375296275
110	0.536354837
111	0.5355883099
112	0.5346640632
113	0.5334485372
114	0.5327081226
115	0.5316955476
116	0.5300288427
117	0.5292956034
118	0.5283397493
119	0.5273520152
120	0.5259469804
121	0.5247298649
122	0.5236390432
123	0.522666477
124	0.5217888242
125	0.5208616711
126	0.5197043646
127	0.518399829
128	0.5176410221
129	0.5168600537
130	0.5157051995
131	0.5151132856
132	0.5138889494
133	0.5132103875
134	0.5122647058
135	0.5107114883
136	0.509653591
137	0.5090040934
138	0.508237203
139	0.5071563267
140	0.5057708195
141	0.504876818
142	0.5039705549
143	0.5028980346
144	0.5022485824
145	0.5010558991
146	0.5004029047
147	0.4992055893
148	0.498084477
149	0.4967078254
150	0.4957617351
151	0.49449739
152	0.4935337248
153	0.4925958997
154	0.4918676104
155	0.4908718382
156	0.4898009527
157	0.488679795
158	0.4878916967
159	0.4870191302
160	0.4860680898
161	0.4848908016
162	0.4838650113
163	0.4827295939
164	0.4816998527
165	0.4805327824
166	0.4792259761
167	0.4784383774
168	0.4773224422
169	0.4764898845
170	0.4753850755
171	0.474393118
172	0.4735877627
173	0.4725201016
174	0.4714038486
175	0.4703525816
176	0.4692949568
177	0.4684289296
178	0.4675426483
179	0.4666113172
180	0.4657488323
181	0.4645194553
182	0.4635631016
183	0.4628670102
184	0.4616171519
185	0.4609571639
186	0.4602250599
187	0.4593761535
188	0.4587742033
189	0.4578577677
190	0.4567718506
191	0.4562891097
192	0.4553271248
193	0.4542490641
194	0.4534617833
195	0.4523278191
196	0.4513927641
197	0.4505837304
198	0.4495873224
199	0.4484632583
200	0.4479767936
201	0.4471724374
202	0.4463222594
203	0.4450116839
204	0.4444828942
205	0.4439258575
206	0.4429946173
207	0.4424917584
208	0.441824141
209	0.4407309578
210	0.4394563039
211	0.4386108035
212	0.4379469554
213	0.4370268867
214	0.4365048181
215	0.4355930147
216	0.4344674973
217	0.4334344864
218	0.4326524734
219	0.4314153762
220	0.4304524376
221	0.4297972634
222	0.428650084
223	0.427481833
224	0.4264369238
225	0.4255635398
226	0.4250076385
227	0.4242980594
228	0.4236043748
229	0.4231915701
230	0.4222543353
231	0.4213982537
232	0.4202969415
233	0.419130734
234	0.4177895955
235	0.41671376
236	0.4160247984
237	0.4154268901
238	0.4147900173
239	0.4139161791
240	0.4136309851
241	0.412678219
242	0.4117349897
243	0.4109803608
244	0.4104467119
245	0.4095480329
246	0.4090256464
247	0.4080889111
248	0.4075677963
249	0.4072657994
250	0.4065936861
251	0.4057875588
252	0.4048923765
253	0.4041047777
254	0.4034862972
255	0.4023658207
256	0.4015956606
257	0.4008575167
258	0.3997763679
259	0.3990539823
260	0.3982810974
261	0.3972992216
262	0.3967580795
263	0.3958990006
264	0.3949832008
265	0.3937841597
266	0.3926380702
267	0.3917946134
268	0.3910420282
269	0.3902203242
270	0.38958495
271	0.388758069
272	0.3875734238
273	0.3868920008
274	0.3858236585
275	0.3849248886
276	0.3840221223
277	0.3830367497
278	0.3818124135
279	0.3808331262
280	0.3801283382
281	0.3790877433
282	0.3782485326
283	0.3774243536
284	0.3766918864
285	0.3758955456
286	0.3754153479
287	0.3751143728
288	0.3743886721
289	0.3737227122
290	0.372510683
291	0.3711237907
292	0.3701690719
293	0.3692169417
294	0.368631204
295	0.3679150627
296	0.3669459025
297	0.3663138889
