iter	Passed	Remaining
0	77	154157
1	89	89226
2	95	63773
3	102	51070
4	108	43177
5	115	38414
6	122	34810
7	130	32552
8	137	30346
9	145	28873
10	155	28046
11	164	27317
12	182	27844
13	201	28515
14	230	30497
15	244	30342
16	259	30272
17	277	30566
18	294	30720
19	341	33797
20	352	33231
21	363	32718
22	371	31962
23	378	31156
24	385	30463
25	391	29750
26	398	29091
27	404	28470
28	413	28107
29	420	27632
30	435	27631
31	442	27193
32	450	26832
33	459	26542
34	478	26848
35	489	26693
36	502	26635
37	534	27583
38	550	27690
39	560	27474
40	576	27527
41	583	27189
42	588	26804
43	596	26516
44	602	26170
45	608	25833
46	620	25781
47	630	25634
48	636	25338
49	643	25085
50	648	24798
51	654	24532
52	661	24318
53	667	24057
54	672	23795
55	679	23584
56	693	23646
57	703	23567
58	713	23461
59	720	23295
60	730	23207
61	736	23025
62	743	22866
63	749	22681
64	756	22534
65	763	22364
66	769	22192
67	783	22259
68	793	22209
69	800	22079
70	808	21957
71	813	21787
72	820	21650
73	828	21560
74	834	21425
75	842	21335
76	851	21263
77	859	21185
78	867	21084
79	895	21482
80	914	21676
81	953	22310
82	972	22465
83	989	22564
84	1012	22810
85	1026	22854
86	1036	22781
87	1052	22867
88	1062	22813
89	1075	22822
90	1087	22804
91	1095	22729
92	1249	25616
93	1262	25592
94	1273	25529
95	1302	25840
96	1315	25817
97	1331	25849
98	1341	25762
99	1365	25943
100	1423	26755
101	1437	26743
102	1462	26929
103	1469	26785
104	1478	26683
105	1489	26615
106	1523	26947
107	1532	26845
108	1541	26745
109	1549	26630
110	1559	26535
111	1565	26397
112	1574	26299
113	1583	26200
114	1594	26137
115	1620	26318
116	1628	26210
117	1635	26084
118	1646	26021
119	1654	25920
120	1661	25793
121	1669	25696
122	1678	25607
123	1686	25516
124	1713	25701
125	1731	25748
126	1741	25683
127	1750	25597
128	1757	25488
129	1765	25394
130	1773	25299
131	1781	25207
132	1788	25104
133	1797	25034
134	1806	24953
135	1814	24866
136	1821	24763
137	1829	24685
138	1838	24613
139	1846	24534
140	1854	24444
141	1863	24378
142	1901	24698
143	1909	24611
144	1917	24535
145	1924	24444
146	1937	24420
147	1945	24344
148	1953	24271
149	1970	24301
150	1997	24457
151	2004	24370
152	2012	24291
153	2020	24216
154	2048	24385
155	2061	24366
156	2075	24360
157	2087	24331
158	2226	25778
159	2237	25730
160	2250	25708
161	2264	25696
162	2276	25657
163	2286	25593
164	2295	25525
165	2330	25746
166	2340	25691
167	2348	25609
168	2356	25531
169	2363	25446
170	2373	25389
171	2384	25337
172	2392	25265
173	2410	25299
174	2417	25215
175	2426	25146
176	2433	25064
177	2443	25006
178	2449	24923
179	2458	24860
180	2465	24780
181	2486	24840
182	2494	24770
183	2503	24705
184	2510	24626
185	2517	24551
186	2525	24488
187	2533	24416
188	2541	24352
189	2559	24385
190	2572	24359
191	2580	24296
192	2591	24259
193	2598	24190
194	2606	24122
195	2613	24053
196	2622	23997
197	2629	23929
198	2638	23875
199	2655	23900
200	2662	23833
201	2671	23778
202	2678	23708
203	2688	23668
204	2695	23601
205	2703	23547
206	2717	23536
207	2725	23483
208	2756	23620
209	2767	23586
210	2775	23535
211	2789	23529
212	2799	23486
213	2807	23433
214	2818	23397
215	2841	23465
216	2851	23426
217	2861	23390
218	2868	23328
219	2875	23262
220	2885	23224
221	2892	23165
222	2899	23104
223	2905	23039
224	2918	23020
225	2926	22975
226	2934	22923
227	2943	22874
228	2951	22823
229	2959	22778
230	2967	22721
231	2976	22679
232	2984	22635
233	2993	22594
234	3013	22634
235	3022	22595
236	3033	22566
237	3044	22543
238	3059	22546
239	3085	22628
240	3140	22923
241	3170	23030
242	3192	23085
243	3228	23231
244	3254	23311
245	3295	23499
246	3318	23551
247	3336	23573
248	3349	23551
249	3360	23526
250	3371	23496
251	3400	23584
252	3413	23568
253	3421	23520
254	3430	23474
255	3440	23441
256	3453	23420
257	3463	23387
258	3471	23334
259	3498	23413
260	3506	23360
261	3515	23320
262	3523	23269
263	3534	23242
264	3545	23209
265	3553	23164
266	3571	23178
267	3596	23242
268	3614	23261
269	3637	23305
270	3659	23346
271	3682	23391
272	3732	23612
273	3759	23680
274	3776	23688
275	3800	23739
276	3817	23743
277	3850	23848
278	3865	23842
279	3880	23839
280	3898	23845
281	3908	23811
282	3917	23765
283	3927	23731
284	3941	23718
285	3972	23805
286	3980	23758
287	3991	23728
288	4001	23692
289	4012	23660
290	4025	23640
291	4117	24083
292	4140	24122
293	4155	24113
294	4274	24702
